player_name,team,league,line_score,stat_type,start_time,updated_at,scrape_time
Cade Cunningham,Pistons,NBA,25.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T09:36:56-04:00,2025-10-29 16:58:22
Duncan Robinson,Pistons,NBA,9.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:57:47-04:00,2025-10-29 16:58:22
Jalen Duren,Pistons,NBA,12.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T11:00:14-04:00,2025-10-29 16:58:22
Cedric Coward,Grizzlies,NBA,11.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T01:00:56-04:00,2025-10-29 16:58:22
Royce O'Neale,Suns,NBA,11.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T10:26:34-04:00,2025-10-29 16:58:22
Aaron Nesmith,Pacers,NBA,14.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T12:39:27-04:00,2025-10-29 16:58:22
Anthony Davis,Mavericks,NBA,25.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T08:11:17-04:00,2025-10-29 16:58:22
Ben Sheppard,Pacers,NBA,10.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T12:14:16-04:00,2025-10-29 16:58:22
Cooper Flagg,Mavericks,NBA,15.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T01:18:19-04:00,2025-10-29 16:58:22
D'Angelo Russell,Mavericks,NBA,12.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T08:47:26-04:00,2025-10-29 16:58:22
Isaiah Jackson,Pacers,NBA,7.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T03:23:43-04:00,2025-10-29 16:58:22
Klay Thompson,Mavericks,NBA,11.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T09:13:14-04:00,2025-10-29 16:58:22
Max Christie,Mavericks,NBA,10.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T01:17:56-04:00,2025-10-29 16:58:22
Naji Marshall,Mavericks,NBA,9.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T01:54:03-04:00,2025-10-29 16:58:22
P.J. Washington,Mavericks,NBA,14.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T11:49:37-04:00,2025-10-29 16:58:22
Pascal Siakam,Pacers,NBA,25.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T12:16:48-04:00,2025-10-29 16:58:22
Anthony Black,Magic,NBA,9.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T01:33:52-04:00,2025-10-29 16:58:22
Tristan Da Silva,Magic,NBA,6.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T01:40:52-04:00,2025-10-29 16:58:22
Terrence Shannon,Timberwolves,NBA,8.5,Points,2025-10-29T21:40:00-04:00,2025-10-29T01:32:28-04:00,2025-10-29 16:58:22
Nicolas Claxton,Nets,NBA,10.5,Points,2025-10-29T19:40:00-04:00,2025-10-29T02:32:56-04:00,2025-10-29 16:58:22
Kris Murray,Trail Blazers,NBA,5.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T05:31:21-04:00,2025-10-29 16:58:22
Josh Okogie,Rockets,NBA,8.0,Points,2025-10-29T18:40:00-04:00,2025-10-29T06:58:39-04:00,2025-10-29 16:58:22
RayJ Dennis,Pacers,NBA,9.5,Points,2025-10-29T20:40:00-04:00,2025-10-29T11:08:48-04:00,2025-10-29 16:58:22
Keon Ellis,Kings,NBA,6.5,Points,2025-10-29T20:10:00-04:00,2025-10-29T12:24:16-04:00,2025-10-29 16:58:22
Ace Bailey,Jazz,NBA,5.5,Points,2025-10-29T21:10:00-04:00,2025-10-29T08:33:30-04:00,2025-10-29 16:58:22
Tobias Harris,Pistons,NBA,13.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T09:08:25-04:00,2025-10-29 16:58:22
Jalen Suggs,Magic,NBA,11.0,Points,2025-10-29T19:10:00-04:00,2025-10-29T09:08:11-04:00,2025-10-29 16:58:22
Egor Dëmin,Nets,NBA,8.0,Points,2025-10-29T19:40:00-04:00,2025-10-29T09:26:50-04:00,2025-10-29 16:58:22
Terance Mann,Nets,NBA,9.5,Points,2025-10-29T19:40:00-04:00,2025-10-29T09:47:36-04:00,2025-10-29 16:58:22
Ryan Dunn,Suns,NBA,8.0,Points,2025-10-29T22:10:00-04:00,2025-10-29T09:39:08-04:00,2025-10-29 16:58:22
Craig Porter Jr.,Cavaliers,NBA,5.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T09:51:59-04:00,2025-10-29 16:58:22
Luka Garza,Celtics,NBA,6.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T10:45:34-04:00,2025-10-29 16:58:22
